tiempo,amplitud
0,1.2
0.00333336,1.04
0.00666671,0.88
0.0100001,0.72
0.0133334,0.56
0.0166668,0.4
0.0200001,0.24
0.0233335,0.08
0.0266669,-0.08
0.0300002,-0.19
0.0333336,-0.29
0.0366669,-0.4
0.0400003,-0.53
0.0433336,-0.67
0.046667,-0.8
0.0500003,-0.91
0.0533337,-1.01
0.0566671,-1.12
0.0600004,-1.23
0.0633338,-1.33
0.0666671,-1.44
0.0700005,-1.55
0.0733338,-1.65
0.0766672,-1.76
0.0800006,-1.84
0.0833339,-1.92
0.0866673,-2
0.0900006,-2.11
0.093334,-2.21
0.0966673,-2.32
0.100001,-2.43
0.103334,-2.53
0.106667,-2.64
0.110001,-2.77
0.113334,-2.91
0.116667,-3.04
0.120001,-3.15
0.123334,-3.25
0.126668,-3.36
0.130001,-3.47
0.133334,-3.57
0.136668,-3.68
0.140001,-3.79
0.143334,-3.89
0.146668,-4
0.150001,-4.11
0.153334,-4.21
0.156668,-4.32
0.160001,-4.43
0.163334,-4.53
0.166668,-4.64
0.170001,-4.75
0.173335,-4.85
0.176668,-4.96
0.180001,-5.07
0.183335,-5.17
0.186668,-5.28
0.190001,-5.36
0.193335,-5.44
0.196668,-5.52
0.200001,-5.52
0.203335,-5.52
0.206668,-5.52
0.210001,-5.41
0.213335,-5.31
0.216668,-5.2
0.220002,-4.85
0.223335,-4.51
0.226668,-4.16
0.230002,-3.73
0.233335,-3.31
0.236668,-2.88
0.240002,-2.29
0.243335,-1.71
0.246668,-1.12
0.250002,-0.56
0.253335,0
0.256668,0.56
0.260002,1.07
0.263335,1.57
0.266669,2.08
0.270002,2.51
0.273335,2.93
0.276669,3.36
0.280002,3.68
0.283335,4
0.286669,4.32
0.290002,4.56
0.293335,4.8
0.296669,5.04
0.300002,5.25
0.303335,5.47
0.306669,5.68
0.310002,5.73
0.313336,5.79
0.316669,5.84
0.320002,5.92
0.323336,6
0.326669,6.08
0.330002,6.08
0.333336,6.08
0.336669,6.08
0.340002,6.11
0.343336,6.13
0.346669,6.16
0.350002,6.13
0.353336,6.11
0.356669,6.08
0.360003,6.03
0.363336,5.97
0.366669,5.92
0.370003,5.84
0.373336,5.76
0.376669,5.68
0.380003,5.6
0.383336,5.52
0.386669,5.44
0.390003,5.33
0.393336,5.23
0.396669,5.12
0.400003,5.01
0.403336,4.91
0.406669,4.8
0.410003,4.67
0.413336,4.53
0.41667,4.4
0.420003,4.24
0.423336,4.08
0.42667,3.92
0.430003,3.73
0.433336,3.55
0.43667,3.36
0.440003,3.17
0.443336,2.99
0.44667,2.8
0.450003,2.59
0.453336,2.37
0.45667,2.16
0.460003,1.97
0.463337,1.79
0.46667,1.6
0.470003,1.39
0.473337,1.17
0.47667,0.96
0.480003,0.8
0.483337,0.64
0.48667,0.48
0.490003,0.32
0.493337,0.16
0.49667,0
0.500003,-0.13
0.503337,-0.27
0.50667,-0.4
0.510004,-0.51
0.513337,-0.61
0.51667,-0.72
0.520004,-0.83
0.523337,-0.93
0.52667,-1.04
0.530004,-1.15
0.533337,-1.25
0.53667,-1.36
0.540004,-1.47
0.543337,-1.57
0.54667,-1.68
0.550004,-1.79
0.553337,-1.89
0.556671,-2
0.560004,-2.11
0.563337,-2.21
0.566671,-2.32
0.570004,-2.43
0.573337,-2.53
0.576671,-2.64
0.580004,-2.77
0.583337,-2.91
0.586671,-3.04
0.590004,-3.15
0.593337,-3.25
0.596671,-3.36
0.600004,-3.47
0.603338,-3.57
0.606671,-3.68
0.610004,-3.79
0.613338,-3.89
0.616671,-4
0.620004,-4.13
0.623338,-4.27
0.626671,-4.4
0.630004,-4.51
0.633338,-4.61
0.636671,-4.72
0.640004,-4.83
0.643338,-4.93
0.646671,-5.04
0.650005,-5.15
0.653338,-5.25
0.656671,-5.36
0.660005,-5.41
0.663338,-5.47
0.666671,-5.52
0.670005,-5.57
0.673338,-5.63
0.676671,-5.68
0.680005,-5.55
0.683338,-5.41
0.686671,-5.28
0.690005,-4.99
0.693338,-4.69
0.696672,-4.4
0.700005,-3.92
0.703338,-3.44
0.706672,-2.96
0.710005,-2.4
0.713338,-1.84
0.716672,-1.28
0.720005,-0.67
0.723338,-0.05
0.726672,0.56
0.730005,1.04
0.733338,1.52
0.736672,2
0.740005,2.48
0.743338,2.96
0.746672,3.44
0.750005,3.76
0.753339,4.08
0.756672,4.4
0.760005,4.64
0.763339,4.88
0.766672,5.12
0.770005,5.28
0.773339,5.44
0.776672,5.6
0.780005,5.71
0.783339,5.81
0.786672,5.92
0.790005,6.03
0.793339,6.13
0.796672,6.24
0.800006,6.24
0.803339,6.24
0.806672,6.24
0.810006,6.27
0.813339,6.29
0.816672,6.32
0.820006,6.27
0.823339,6.21
0.826672,6.16
0.830006,6.11
0.833339,6.05
0.836672,6
0.840006,5.92
0.843339,5.84
0.846673,5.76
0.850006,5.68
0.853339,5.6
0.856673,5.52
0.860006,5.44
0.863339,5.36
0.866673,5.28
0.870006,5.17
0.873339,5.07
0.876673,4.96
0.880006,4.85
0.883339,4.75
0.886673,4.64
0.890006,4.48
0.89334,4.32
0.896673,4.16
0.900006,3.97
0.90334,3.79
0.906673,3.6
0.910006,3.41
0.91334,3.23
0.916673,3.04
0.920006,2.83
0.92334,2.61
0.926673,2.4
0.930006,2.19
0.93334,1.97
0.936673,1.76
0.940007,1.57
0.94334,1.39
0.946673,1.2
0.950007,1.01
0.95334,0.83
0.956673,0.64
0.960007,0.51
