tiempo,amplitud
0,-0.41895
0.01001,-0.40935
0.02002,-0.3998
0.03003,-0.3903
0.04004,-0.3807
0.0500501,-0.3712
0.0600601,-0.3603
0.0700701,-0.34945
0.0800801,-0.3386
0.0900901,-0.32775
0.1001,-0.3169
0.11011,-0.30485
0.12012,-0.2928
0.13013,-0.28075
0.14014,-0.2687
0.15015,-0.2567
0.16016,-0.24445
0.17017,-0.23225
0.18018,-0.22
0.19019,-0.2078
0.2002,-0.1956
0.21021,-0.1836
0.22022,-0.17165
0.23023,-0.1597
0.24024,-0.14775
0.25025,-0.1358
0.26026,-0.1244
0.27027,-0.11305
0.28028,-0.1017
0.29029,-0.09035
0.3003,-0.079
0.31031,-0.06815
0.32032,-0.0573
0.33033,-0.04645
0.34034,-0.0356
0.35035,-0.0248
0.36036,-0.0147
0.37037,-0.00465
0.38038,0.0053
0.39039,0.0154
0.4004,0.02545
0.41041,0.03445
0.42042,0.04345
0.43043,0.0524
0.44044,0.06145
0.45045,0.07045
0.46046,0.0786
0.47047,0.0868
0.48048,0.09495
0.49049,0.10315
0.500501,0.11135
0.510511,0.1184
0.520521,0.1255
0.530531,0.13255
0.540541,0.13965
0.550551,0.14675
0.560561,0.15285
0.570571,0.159
0.580581,0.16515
0.590591,0.1713
0.600601,0.17745
0.610611,0.1829
0.620621,0.18835
0.630631,0.19375
0.640641,0.19925
0.650651,0.2047
0.660661,0.20945
0.670671,0.2142
0.680681,0.219
0.690691,0.22375
0.700701,0.22855
0.710711,0.23275
0.720721,0.237
0.730731,0.2412
0.740741,0.24545
0.750751,0.2497
0.760761,0.25355
0.770771,0.2574
0.780781,0.26125
0.790791,0.2651
0.800801,0.269
0.810811,0.27245
0.820821,0.27595
0.830831,0.2794
0.840841,0.2829
0.850851,0.2864
0.860861,0.28945
0.870871,0.29255
0.880881,0.2956
0.890891,0.2987
0.900901,0.3018
0.910911,0.3045
0.920921,0.30725
0.930931,0.31
0.940941,0.31275
0.950951,0.3155
0.960961,0.3179
0.970971,0.3203
0.980981,0.32275
0.990991,0.32515
1.001,0.3276
101.101,0.3296
102.102,0.3316
103.103,0.3336
104.104,0.3356
105.105,0.33765
