tiempo,amplitud
0,0
0.01001,-0.02
0.02002,-0.02
0.03003,-0.025
0.04004,-0.01
0.0500501,-0.01
0.0600601,-0.015
0.0700701,-0.01
0.0800801,-0.02
0.0900901,-0.025
0.1001,-0.04
0.11011,-0.035
0.12012,-0.055
0.13013,-0.04
0.14014,-0.055
0.15015,-0.055
0.16016,-0.045
0.17017,0.005
0.18018,0.03
0.19019,0.06
0.2002,0.055
0.21021,0.12
0.22022,0.085
0.23023,0.055
0.24024,-0.01
0.25025,-0.005
0.26026,-0.09
0.27027,-0.095
0.28028,-0.11
0.29029,-0.095
0.3003,-0.115
0.31031,-0.095
0.32032,-0.12
0.33033,-0.09
0.34034,-0.08
0.35035,0.2
0.36036,0.535
0.37037,-0.32
0.38038,-0.355
0.39039,-0.195
0.4004,-0.09
0.41041,-0.085
0.42042,-0.105
0.43043,-0.09
0.44044,-0.095
0.45045,-0.075
0.46046,-0.095
0.47047,-0.07
0.48048,-0.085
0.49049,-0.06
0.500501,-0.065
0.510511,-0.03
0.520521,-0.025
0.530531,0
0.540541,0.01
0.550551,0.035
0.560561,0.055
0.570571,0.11
0.580581,0.13
0.590591,0.175
0.600601,0.21
0.610611,0.24
0.620621,0.255
0.630631,0.285
0.640641,0.295
0.650651,0.29
0.660661,0.23
0.670671,0.2
0.680681,0.115
0.690691,0.055
0.700701,0.01
0.710711,-0.015
0.720721,-0.03
0.730731,-0.045
0.740741,-0.04
0.750751,-0.035
0.760761,-0.02
0.770771,-0.035
0.780781,-0.02
0.790791,-0.025
0.800801,-0.02
0.810811,-0.03
0.820821,-0.02
0.830831,-0.03
0.840841,-0.03
0.850851,-0.045
0.860861,-0.035
0.870871,-0.045
0.880881,-0.045
0.890891,-0.065
0.900901,-0.055
0.910911,-0.04
0.920921,0.035
0.930931,0.05
0.940941,0.07
0.950951,0.06
0.960961,0.105
0.970971,0.085
0.980981,0.03
0.990991,0
1.001,-0.035
101.101,-0.1
102.102,-0.11
103.103,-0.12
104.104,-0.09
105.105,-0.11
106.106,-0.105
107.107,-0.125
108.108,-0.085
109.109,-0.06
11.011,0.195
111.111,0.41
112.112,-0.455
113.113,-0.385
114.114,-0.2
115.115,-0.085
116.116,-0.085
117.117,-0.105
118.118,-0.095
119.119,-0.13
12.012,-0.095
121.121,-0.105
122.122,-0.075
123.123,-0.09
124.124,-0.055
125.125,-0.07
126.126,-0.045
127.127,-0.035
128.128,0
129.129,0
13.013,0.05
131.131,0.06
132.132,0.12
133.133,0.125
134.134,0.185
135.135,0.2
136.136,0.25
137.137,0.27
138.138,0.3
139.139,0.315
14.014,0.28
141.141,0.245
142.142,0.175
143.143,0.095
144.144,0.045
145.145,0
146.146,-0.04
147.147,-0.035
148.148,-0.045
149.149,-0.045
15.015,-0.055
151.151,-0.05
